Subject,Group,Number,Condition,Order,Item,Outcome,Response,Correct,Relation,Score
101,WS,1,Not All,BADCE-1,Flower-Not All,2--3,yes,correct,truthconditional,1
101,WS,2,Not All,BADCE-1,Heart-Not All,0--3,yes,semantic,entailment,1
101,WS,3,Not All,BADCE-1,Phone-Not All,0--3,yes,semantic,entailment,1
101,WS,4,Not All,BADCE-1,Triangle-Not All,2--3,yes,correct,truthconditional,1
101,WS,5,Not All,BADCE-1,Doughnut-Not All,2--3,yes,correct,truthconditional,1
101,WS,6,Not All,BADCE-1,Kite-Not All,3--3,no,correct,truthconditional,1
101,WS,7,Not All,BADCE-1,Star-Not All,0--3,yes,semantic,entailment,1
101,WS,8,Not All,BADCE-1,Ball-Not All,0--3,yes,semantic,entailment,1
101,WS,9,Not All,BADCE-1,Cup-Not All,3--3,no,correct,truthconditional,1
101,WS,10,Not All,BADCE-1,Icecream-Not All,3--3,no,correct,truthconditional,1
101,WS,11,Not All,BADCE-1,Cake-Not All,2--3,yes,correct,truthconditional,1
101,WS,12,Not All,BADCE-1,Smile-Not All,3--3,no,correct,truthconditional,1
101,WS,13,All,BADCE-1,Cloud-All,2--3,no,correct,truthconditional,1
101,WS,14,All,BADCE-1,Boat-All,3--3,yes,correct,truthconditional,1
101,WS,15,All,BADCE-1,Bulb-All,0--3,no,correct,truthconditional,1
101,WS,16,All,BADCE-1,Heart-All,2--3,no,correct,truthconditional,1
101,WS,17,All,BADCE-1,Circle-All,2--3,no,correct,truthconditional,1
101,WS,18,All,BADCE-1,Key-All,3--3,yes,correct,truthconditional,1
101,WS,19,All,BADCE-1,Puzzle-All,0--3,no,correct,truthconditional,1
101,WS,20,All,BADCE-1,Camera-All,0--3,no,correct,truthconditional,1
101,WS,21,All,BADCE-1,Flag-All,0--3,no,correct,truthconditional,1
101,WS,22,All,BADCE-1,Square-All,2--3,no,correct,truthconditional,1
101,WS,23,All,BADCE-1,Tree-All,3--3,yes,correct,truthconditional,1
101,WS,24,All,BADCE-1,Flower-All,3--3,yes,correct,truthconditional,1
101,WS,25,Some,BADCE-1,Camera-Some,3--3,yes,semantic,entailment,1
101,WS,26,Some,BADCE-1,Moon-Some,3--3,yes,semantic,entailment,1
101,WS,27,Some,BADCE-1,Sun-Some,3--3,yes,semantic,entailment,1
101,WS,28,Some,BADCE-1,Puzzle-Some,2--3,yes,correct,truthconditional,1
101,WS,29,Some,BADCE-1,Square-Some,0--3,no,correct,truthconditional,1
101,WS,30,Some,BADCE-1,House-Some,0--3,no,correct,truthconditional,1
101,WS,31,Some,BADCE-1,Balloon-Some,0--3,no,correct,truthconditional,1
101,WS,32,Some,BADCE-1,Flower-Some,0--3,no,correct,truthconditional,1
101,WS,33,Some,BADCE-1,Lock-Some,2--3,yes,correct,truthconditional,1
101,WS,34,Some,BADCE-1,Star-Some,3--3,yes,semantic,entailment,1
101,WS,35,Some,BADCE-1,Circle-Some,2--3,yes,correct,truthconditional,1
101,WS,36,Some,BADCE-1,Tree-Some,2--3,yes,correct,truthconditional,1
101,WS,37,Or,BADCE-1,Triangle-circle-Or,Neither,no,correct,truthconditional,1
101,WS,38,Or,BADCE-1,Lightbulb-Or,Either,yes,correct,truthconditional,1
101,WS,39,Or,BADCE-1,Boat-Or,Either,yes,correct,truthconditional,1
101,WS,40,Or,BADCE-1,Cup-cake-Or,Neither,no,correct,truthconditional,1
101,WS,41,Or,BADCE-1,Flowerpot-house-Or,Both,yes,semantic,entailment,1
101,WS,42,Or,BADCE-1,Smile-Or,Either,yes,correct,truthconditional,1
101,WS,43,Or,BADCE-1,Smile-heart-Or,Both,yes,semantic,entailment,1
101,WS,44,Or,BADCE-1,Key-doughnut-Or,Neither,no,correct,truthconditional,1
101,WS,45,Or,BADCE-1,Arrow-tree-Or,Both,yes,semantic,entailment,1
101,WS,46,Or,BADCE-1,Ring-Or,Either,yes,correct,truthconditional,1
101,WS,47,Or,BADCE-1,Phone-cross-Or,Both,yes,semantic,entailment,1
101,WS,48,Or,BADCE-1,Icecream-sun-Or,Neither,no,correct,truthconditional,1
101,WS,49,Two,BADCE-1,Ring-Two,0--3,no,correct,truthconditional,1
101,WS,50,Two,BADCE-1,Flowerpot-Two,3--3,no,pragmatic,entailment,0
101,WS,51,Two,BADCE-1,Arrow-Two,0--3,no,correct,truthconditional,1
101,WS,52,Two,BADCE-1,Flag-Two,3--3,no,pragmatic,entailment,0
101,WS,53,Two,BADCE-1,Balloon-Two,2--3,yes,correct,truthconditional,1
